2025-11-25 11:01:26,462 | INFO    | aiogram.event | Update id=589781366 is handled. Duration 130 ms by bot id=8500394417
2025-11-25 11:01:27,203 | INFO    | aiogram.event | Update id=589781367 is handled. Duration 191 ms by bot id=8500394417
2025-11-25 11:01:27,978 | INFO    | aiogram.event | Update id=589781368 is handled. Duration 152 ms by bot id=8500394417
2025-11-25 11:01:28,866 | ERROR   | dnd_bot | Exception in universal_handler
Traceback (most recent call last):
  File "/home/timur/DndBot/main.py", line 387, in universal_handler
    save_character_full(user_id, message.from_user.username or message.from_user.full_name,
  File "/home/timur/DndBot/main.py", line 136, in save_character_full
    cur.execute("""
sqlite3.OperationalError: table characters has no column named inventory
2025-11-25 11:01:28,991 | INFO    | aiogram.event | Update id=589781369 is handled. Duration 125 ms by bot id=8500394417
2025-11-25 11:02:13,701 | WARNING | aiogram.dispatcher | Received SIGINT signal
2025-11-25 11:02:13,702 | INFO    | aiogram.dispatcher | Polling stopped for bot @dndTimurBot id=8500394417 - 'DndBotTimur'
2025-11-25 11:02:13,702 | INFO    | aiogram.dispatcher | Polling stopped
2025-11-25 11:02:13,953 | INFO    | dnd_bot | Bot stopped
2025-11-25 11:02:15,780 | DEBUG   | asyncio | Using selector: EpollSelector
2025-11-25 11:02:15,780 | INFO    | dnd_bot | Init DB at: /home/timur/DndBot/dnd.db
2025-11-25 11:02:15,800 | INFO    | dnd_bot | Seeding items table
2025-11-25 11:02:15,803 | INFO    | dnd_bot | Bot starting...
2025-11-25 11:02:15,803 | INFO    | aiogram.dispatcher | Start polling
2025-11-25 11:02:16,123 | INFO    | aiogram.dispatcher | Run polling for bot @dndTimurBot id=8500394417 - 'DndBotTimur'
2025-11-25 11:02:25,987 | INFO    | aiogram.event | Update id=589781370 is handled. Duration 346 ms by bot id=8500394417
2025-11-25 11:02:27,503 | INFO    | aiogram.event | Update id=589781371 is handled. Duration 127 ms by bot id=8500394417
2025-11-25 11:02:28,758 | INFO    | aiogram.event | Update id=589781372 is handled. Duration 121 ms by bot id=8500394417
2025-11-25 11:02:29,489 | INFO    | aiogram.event | Update id=589781373 is handled. Duration 127 ms by bot id=8500394417
2025-11-25 11:02:30,564 | INFO    | aiogram.event | Update id=589781374 is handled. Duration 124 ms by bot id=8500394417
2025-11-25 11:02:31,233 | INFO    | aiogram.event | Update id=589781375 is handled. Duration 129 ms by bot id=8500394417
2025-11-25 11:02:31,898 | INFO    | aiogram.event | Update id=589781376 is handled. Duration 125 ms by bot id=8500394417
2025-11-25 11:02:32,576 | INFO    | aiogram.event | Update id=589781377 is handled. Duration 126 ms by bot id=8500394417
